id,name,gpa
90308,Smith,0.31807047459485527
95715,Cooper,0.6593988984038233
94925,Sam,0.7262787714875316
93326,Smith,0.19329799950924675
96253,Kevin,0.18437897877866116
93253,Paul,0.9216850346816248
93505,John,0.4579036976365104
96047,Chris,0.40689247290276465
95052,Tom,0.9765927193265491
95457,Tom,0.7488376573903321
97403,Paul,0.5449604172785304
97663,John,0.0314381683837166
97616,Sam,0.22079523577922666
99563,Kate,0.34155444546516533
90504,Cooper,0.2960803769533211
94880,Kevin,0.06802788926474568
95147,Kevin,0.7498533682460166
92907,Smith,0.8106004528363441
91656,John,0.021918045196414493
93240,Tom,0.6145375507485614
98896,Kate,0.543335486360915
97108,Paul,0.2654850098619822
95359,John,0.03225009494832476
98731,Chris,0.47493639009303734
90195,Chris,0.46879897279012284
92969,Chris,0.7516021637310893
96779,Sam,0.6310372301906911
99306,Cooper,0.7044228602944465
96046,Paul,0.06680237567328395
96598,Cooper,0.7289895492365854
96964,Smith,0.6582665577020788
92607,Smith,0.3177525338718118
97027,Sam,0.009461654809205355
98668,Smith,0.3696402407097562
95391,Maddison,0.2624922416059955
99601,Cooper,0.39518859974696896
98338,Chris,0.8544092587664356
93963,Chris,0.21056391800055785
93136,Kate,0.6096489379643143
99168,Maddison,0.4659345715553539
95872,Kate,0.04029072588491478
93188,John,0.4970140866459578
95165,Sam,0.6550952505720334
90007,Cooper,0.7889773989978957
99105,Tom,0.5024332634761213
97119,Sam,0.8556081133963863
95811,John,0.7239058099243704
96582,Cooper,0.327584919928526
96461,Kevin,0.9505600510095215
99643,Maddison,0.09226076655771565
98327,Kate,0.002108690565030158
95681,Kevin,0.8008561791158376
94657,Maddison,0.6779700867403083
96823,Kevin,0.934212675314658
93972,Paul,0.7809258256247772
93022,Sam,0.34528101609935813
94934,Paul,0.8772729114313805
92555,Tom,0.22692085255450722
91405,Paul,0.8835657964024598
90273,Kevin,0.9195484226225886
93994,Maddison,0.9005814561379212
94343,John,0.541104787530003
91137,Smith,0.20208412045021618
99126,Kate,0.4628655439002872
97105,Cooper,0.3549992772436469
94102,Maddison,0.6279239962868935
95282,Sam,0.3075949799248032
90340,Cooper,0.17470014872105122
96701,Kevin,0.7370469255293055
97887,Maddison,0.49988363845300776
90862,John,0.4486718385703785
95909,Paul,0.7818930577824396
90391,Maddison,0.028160262185432994
97019,Chris,0.2562998234168179
90033,Chris,0.6600943740588834
96923,Kate,0.031492200996341646
99841,Cooper,0.9925944367630698
98996,Kate,0.8927981717261602
92546,Kate,0.3798831243007015
91153,Chris,0.7665888393523026
98199,Sam,0.6607970932586907
94460,Tom,0.4406178453126304
95125,Cooper,0.542382536927685
95522,Cooper,0.0988688662271584
99869,Sam,0.7371110536390059
92029,Kevin,0.9379084645420316
92779,John,0.40183861364732654
93261,Cooper,0.94621021827082
91565,Paul,0.6249272800373671
92028,Sam,0.10222107170625416
96570,Sam,0.5993414222342356
90033,Cooper,0.39698365157604176
98675,Smith,0.8368170636059505
92792,Maddison,0.6536177311437374
92569,Tom,0.3340332850794401
95797,Tom,0.48091046654615355
96855,Sam,0.30505515692726026
91240,Cooper,0.27722966963543616
98865,John,0.7429103996244941
99266,Cooper,0.89643112778092
94148,Maddison,0.736795855996997
97186,John,0.10192331017000333
94239,Maddison,0.7883964674022099
91196,Smith,0.7936986935833227
98638,Kevin,0.8182183510369208
91683,Smith,0.0553834308933544
90750,Maddison,0.05008773793924437
91781,Kevin,0.086273347528949
96958,John,0.9501327447481768
99122,Kevin,0.03648311057089204
97092,Sam,0.7001088027301329
91992,Smith,0.8609297585920133
98509,Kate,0.7947734005463504
92791,Paul,0.04855127490642808
97375,Tom,6.629651636870237E-4
95274,Cooper,0.1396196037614802
95306,Sam,0.7130789450620628
99337,Kate,0.30970352748625407
91031,Cooper,0.4185733800673086
91214,Kate,0.5454752661793187
94344,Chris,0.37448114592170634
98172,Cooper,0.487434705998535
90357,Kate,0.1804657595469461
94354,Sam,0.5335658591406572
97186,Tom,0.8248148725955459
95419,Kate,0.6151348029209973
97237,Kevin,0.5960792383893919
90356,John,0.14777660812680748
96391,Maddison,0.11816638828093062
99790,Sam,0.6752842134222001
98130,Tom,0.3050868454182101
92929,Chris,0.21924224976067264
99071,Paul,0.9891323760196963
93771,Kevin,0.5994036445514223
96067,Paul,0.07636465298727202
96822,Chris,0.3354461023025218
99865,Cooper,0.3126557494618222
96180,Kate,0.011446572825207224
97138,Maddison,0.9054051413036144
95620,Tom,0.2485011629562659
97374,Paul,0.9338036092518162
96797,Sam,0.5694053873882166
97792,Kevin,0.0651670486441489
96136,Kevin,0.503702993532094
96210,Chris,0.7680105526948442
96067,Kate,0.705759666900042
98908,Paul,0.5589583997363754
91551,Paul,0.11049843677354454
90036,Tom,0.5557803043541782
99751,Chris,0.5239891676728183
92365,Cooper,0.8593359495755838
93085,Cooper,0.1386896723647637
90305,Chris,0.8169151113130374
94203,Maddison,0.04589299105223765
90460,Kevin,0.033193596067965014
97489,Tom,0.8799639184583155
97801,John,0.19177462071719198
94581,Kate,0.3808075137843683
